age,nationality,marital_status,education_level,destination_country,visa_type,duration_of_stay,monthly_income_usd,bank_balance_usd,prev_countries_visited,prev_visa_rejections,has_return_ticket,has_criminal_record,visa_approved
39,Canadian,Single,PhD,France,Tourist,110,9680,144968,15,5,0,0,0
41,Chinese,Divorced,High School,Australia,Student,69,11327,70594,7,0,0,0,1
61,Canadian,Divorced,High School,UK,Tourist,288,9397,159659,0,4,0,0,0
55,German,Divorced,PhD,France,Work,300,13453,137241,16,3,0,0,0
40,Indian,Divorced,Bachelors,Canada,Tourist,291,9682,171722,4,5,1,0,0
30,American,Married,Bachelors,France,Student,298,8750,8934,15,4,1,0,0
53,Canadian,Married,Bachelors,France,Student,356,9014,12513,9,0,1,0,1
34,Nigerian,Married,PhD,France,Tourist,118,13683,167208,4,0,1,0,1
33,Australian,Single,PhD,Germany,Tourist,288,3311,191911,5,5,1,0,0
33,German,Divorced,Bachelors,Australia,Work,276,2950,125756,20,2,1,0,1
56,German,Married,Bachelors,UK,Student,159,1601,149388,7,0,0,0,1
33,Nigerian,Married,High School,Canada,Tourist,223,2683,20419,19,3,0,0,0
57,German,Divorced,High School,USA,Work,31,4892,72793,10,1,0,0,1
42,British,Single,PhD,France,Work,148,9000,99737,2,3,1,0,0
44,Canadian,Married,PhD,Germany,Tourist,50,6425,35762,3,1,0,0,1
27,Nigerian,Divorced,Masters,France,Student,334,10409,114670,12,4,0,0,0
35,Nigerian,Single,Masters,USA,Tourist,138,1039,99016,16,5,0,0,0
44,Australian,Divorced,Bachelors,Canada,Student,11,5703,116061,12,2,0,0,0
28,British,Divorced,High School,USA,Student,18,10553,158704,18,2,0,0,1
49,British,Married,Bachelors,USA,Student,196,13405,94800,6,4,1,0,0
53,Chinese,Married,PhD,Germany,Tourist,281,13160,54318,7,1,1,0,1
41,Chinese,Married,Masters,France,Work,172,1247,163840,7,4,1,0,0
61,Australian,Single,High School,France,Student,112,5426,48797,0,4,1,0,0
27,American,Divorced,High School,Canada,Tourist,80,6928,83769,19,2,1,0,1
60,British,Divorced,High School,UK,Student,175,14965,181090,4,4,1,0,0
29,Chinese,Married,Masters,France,Student,100,668,35960,10,0,0,0,1
36,Canadian,Married,PhD,Canada,Tourist,333,3600,63073,14,5,1,0,0
69,Nigerian,Divorced,High School,Canada,Student,232,6745,118336,15,2,0,0,1
38,Nigerian,Married,Bachelors,Canada,Work,130,7842,26911,19,2,1,0,0
25,Chinese,Married,Bachelors,UK,Student,170,5348,188322,16,0,0,0,1
51,Australian,Single,High School,Canada,Tourist,303,12760,53650,13,2,0,0,0
63,Chinese,Married,Masters,Germany,Work,28,13262,140222,7,2,1,0,1
36,German,Divorced,Bachelors,Australia,Student,298,13093,142335,10,5,1,0,0
48,German,Single,PhD,Australia,Tourist,171,10153,113253,12,4,1,0,1
38,American,Divorced,Masters,USA,Student,260,9789,188402,2,5,0,0,0
65,American,Divorced,Masters,UK,Tourist,45,8095,83310,2,4,0,0,0
60,Australian,Married,Masters,USA,Student,221,14220,26665,14,3,0,0,0
67,Canadian,Single,Masters,USA,Student,364,2856,55718,9,1,0,0,1
26,Canadian,Single,PhD,Australia,Tourist,354,1492,71131,19,4,1,0,0
55,Canadian,Divorced,High School,Australia,Work,333,10216,193368,16,0,0,0,1
61,American,Divorced,Bachelors,France,Work,364,1250,61335,6,2,1,0,0
