age,nationality,marital_status,education_level,destination_country,visa_type,duration_of_stay,monthly_income_usd,bank_balance_usd,prev_countries_visited,prev_visa_rejections,has_return_ticket,has_criminal_record,visa_approved
53,Australian,Married,High School,Germany,Student,69,9425,48642,15,2,0,0,0
41,American,Single,PhD,USA,Student,124,4362,159597,14,5,1,0,0
35,Indian,Divorced,High School,USA,Work,22,10970,179100,16,2,0,0,0
62,Nigerian,Single,High School,Germany,Student,243,1061,143185,12,0,1,0,1
55,Australian,Married,Masters,France,Tourist,237,4941,142482,12,2,1,0,1
28,Canadian,Divorced,High School,Australia,Work,329,12295,166317,9,2,0,0,0
41,American,Married,High School,UK,Tourist,255,14461,109721,16,4,0,0,0
40,Australian,Single,Masters,France,Tourist,41,7687,138800,2,5,1,0,0
45,British,Married,PhD,UK,Student,184,10570,70712,10,4,1,0,0
32,German,Divorced,High School,USA,Work,190,9990,85512,5,3,1,0,0
67,Chinese,Divorced,Bachelors,UK,Tourist,44,11118,24479,5,3,0,0,0
45,Indian,Divorced,High School,Canada,Student,296,4700,131776,11,0,1,0,1
59,German,Divorced,Bachelors,UK,Student,324,10994,50265,9,1,0,0,1
25,Canadian,Married,Bachelors,UK,Tourist,136,1309,192114,5,0,0,0,1
32,Canadian,Divorced,High School,USA,Work,303,9525,199167,5,5,1,0,0
40,Nigerian,Married,High School,Canada,Tourist,80,763,158634,16,5,1,0,0
37,British,Single,Bachelors,Canada,Tourist,81,1093,77125,13,5,1,0,0
27,German,Married,High School,Australia,Student,11,14998,159692,19,2,1,0,1
50,Indian,Single,PhD,Australia,Tourist,238,2977,96626,3,5,1,0,0
34,American,Single,Masters,Canada,Work,137,851,196972,11,3,0,0,0
31,Chinese,Married,Bachelors,UK,Student,348,6949,192659,11,1,1,0,1
32,American,Single,Bachelors,USA,Tourist,356,10059,130332,17,4,1,0,0
34,Chinese,Single,Masters,Canada,Student,293,4006,37735,7,5,1,0,0
44,Chinese,Divorced,Masters,Canada,Work,258,11594,127110,16,4,0,0,0
58,Canadian,Single,Bachelors,UK,Student,283,12430,25312,2,2,1,0,0
24,Chinese,Married,Masters,France,Tourist,324,5401,57336,0,4,0,0,0
33,German,Married,PhD,USA,Tourist,337,6235,40564,12,0,0,0,1
56,American,Divorced,Masters,France,Student,188,6671,28464,20,4,0,0,0
34,German,Married,High School,UK,Student,155,1299,53912,16,2,1,0,0
23,Canadian,Divorced,Masters,Australia,Tourist,176,810,23823,15,0,1,0,1
33,Indian,Married,Bachelors,Germany,Student,121,10503,108292,14,3,0,0,0
44,Australian,Single,PhD,UK,Work,223,852,191178,3,4,1,0,0
44,Canadian,Single,High School,Canada,Student,121,11340,96567,4,1,1,0,1
27,German,Divorced,Bachelors,USA,Student,27,4968,153071,5,4,1,0,0
46,Chinese,Divorced,High School,Germany,Tourist,59,14580,188929,7,5,0,0,0
63,Chinese,Single,Bachelors,Canada,Work,285,12092,8177,14,5,0,0,0
22,British,Married,PhD,Australia,Work,107,4268,185755,10,2,0,0,1
27,Nigerian,Divorced,Masters,Germany,Tourist,249,1510,64050,20,2,1,0,1
